rank,prev_rank,rider,team,points,manager
331,1012,MEEHAN Jamie,Cofidis,112,
332,358,HOLTER Ådne,Uno-X Mobility,111,
333,362,MOLARD Rudy,Groupama - FDJ United,111,
334,0,VEZIE Maxime,CIC Pro Cycling Academy,111,
335,79,GATE Aaron,XDS Astana Team,110,
336,71,VAN WILDER Ilan,Soudal Quick-Step,110,
337,613,CAMPRUBÍ Marcel,Pinarello Q36.5 Pro Cycling Team,110,
338,553,CADENA Edgar David,Team Storck - MRW Bau,109,
339,960,FOX Matthew,Lotto Intermarché,108,
340,404,DE BOD Stefan,Modern Adventure Pro Cycling,108,
341,24,KOOIJ Olav,Decathlon CMA CGM Team,108,Tim
342,198,TEUTENBERG Tim Torn,Lidl - Trek,107,
343,367,ALLENO Clément,Burgos Burpellet BH,107,
344,164,BAUHAUS Phil,Bahrain - Victorious,107,
345,562,MUNTON Byron,Modern Adventure Pro Cycling,107,
346,2093,JAMAICA Javier Ernesto,Nu Colombia,107,
347,354,NAESEN Oliver,Decathlon CMA CGM Team,107,
348,967,BLOEM Joren,Unibet Rose Rockets,107,
349,1210,FROIDEVAUX Robin,Tudor Pro Cycling Team,106,
350,182,TARLING Joshua,Netcompany INEOS,106,Nick
351,558,NEILANDS Krists,NSN Cycling Team,106,
352,226,ENGELHARDT Felix,Team Jayco AlUla,105,
353,482,TSVETKOV Nikita,Bardiani CSF 7 Saber,105,
354,941,SU Haoyu,XDS Astana Team,105,
355,614,SCOTT Cameron,Li Ning Star,104,
356,45,MATTHEWS Michael,Team Jayco AlUla,104,
357,259,BISSEGGER Stefan,Decathlon CMA CGM Team,104,
358,0,CROZZOLO Fabrizio,Team Polti VisitMalta,104,
359,745,ANTUNES Tiago,Efapel Cycling,104,
360,0,POULARD Athit,Roojai Insurance Winspace,103,
361,856,TONEATTI Davide,XDS Astana Team,103,
362,153,RUBIO Einer,Movistar Team,103,
363,454,RIVERA Brandon Smith,Netcompany INEOS,102,
364,352,HOPKINS Dylan,Roojai Insurance Winspace,101,
365,165,LARSEN Niklas,Unibet Rose Rockets,101,
366,1172,PAJUR Romet,Red Bull - BORA - hansgrohe Rookies,101,
367,1278,HERREGODTS Rune,UAE Team Emirates - XRG,100,
368,475,VAN ENGELEN Adne,Terengganu Cycling Team,99,
369,416,ARVANITOU Nikiforos,Team United Shipping,99,
370,653,STÜSSI Colin,Team Vorarlberg,99,
371,403,BUDZIŃSKI Marcin,MBH Bank CSB Telecom Fort,98,
372,733,JASIM AL-ALI Abdulla,UAE Team Emirates Gen Z,98,
373,356,ALEOTTI Giovanni,Red Bull - BORA - hansgrohe,98,
374,528,SCALCO Matteo,XDS Astana Development Team,97,
375,498,GOVEKAR Matevž,Bahrain - Victorious,97,
376,449,JUARISTI Txomin,Euskaltel - Euskadi,97,
377,1140,BORGO Alessandro,Bahrain - Victorious,95,
378,604,PALETTI Luca,Bardiani CSF 7 Saber,94,
379,433,VALTER Attila,Bahrain - Victorious,94,
380,642,PAREDES Wilmar,Team Medellín - EPM,94,
381,628,DUPONT Timothy,Tarteletto - Isorex,92,
382,440,GARIBBO Nicolò,Team UKYO,92,
383,685,JOHANSEN Julius,UAE Team Emirates - XRG,92,
384,208,HOOLE Daan,Decathlon CMA CGM Team,92,
385,805,KONYCHEV Alexander,China Anta - Mentech Cycling Team,92,
386,134,BERTHET Clément,Groupama - FDJ United,92,
387,405,DE KLEIJN Arvid,Tudor Pro Cycling Team,92,
388,493,ÁLVAREZ Héctor,Lidl - Trek Future Racing,91,
389,1044,VEISTROFFER Baptiste,Lotto Intermarché,91,
390,650,REINDERS Elmar,Unibet Rose Rockets,91,
391,147,FRIGO Marco,NSN Cycling Team,90,
392,752,LIEPIŅŠ Emīls,Pinarello Q36.5 Pro Cycling Team,90,
393,446,UHLIG Henri,Alpecin - Premier Tech,89,
394,345,LEMMEN Bart,Team Visma | Lease a Bike,89,
395,798,BAIS Mattia,Team Polti VisitMalta,89,
396,1656,PLUTO Mārtiņš,Energus Cycling Team,89,
397,1201,CALZONI Walter,Pinarello Q36.5 Pro Cycling Team,88,
398,1659,ADAMIETZ Johannes,REMBE | rad-net,88,
399,1065,VAN GESTEL Dries,Soudal Quick-Step,87,
400,331,EIKING Odd Christian,Unibet Rose Rockets,87,
401,428,DECOMBLE Maxime,Groupama - FDJ United,87,
402,538,LÓPEZ Jordi,Euskaltel - Euskadi,87,
403,142,TRONCHON Bastien,Groupama - FDJ United,87,
404,589,DONNENWIRTH Tom,Groupama - FDJ United,86,
405,305,DEHAIRS Simon,Alpecin - Premier Tech,86,
406,196,VAN DEN BROEK Frank,Team Picnic PostNL,85,
407,377,PEDERSEN Casper,Soudal Quick-Step,84,
408,861,SÜTTERLIN Jasha,Team Jayco AlUla,84,
409,176,THOMAS Benjamin,Cofidis,84,
410,463,MAISONOBE Sam,Cofidis,84,
411,1270,BELLETTA Dario Igor,Team Polti VisitMalta,83,
412,668,DONATI Davide,Red Bull - BORA - hansgrohe Rookies,83,
413,860,BARBIER Pierre,Terengganu Cycling Team,83,
414,199,DELBOVE Joris,TotalEnergies,83,
415,343,VAN BOVEN Luca,Lotto Intermarché,83,
416,546,HAMILTON Chris,Team Picnic PostNL,82,
417,520,DAUPHIN Florian,TotalEnergies,82,
418,1480,MIFSUD Andrea,Team Polti VisitMalta,82,
419,278,WIDAR Jarno,Lotto Intermarché,82,Joe
420,639,DARDER Sergi,Caja Rural - Seguros RGA,82,
421,193,DE BONDT Dries,Team Jayco AlUla,82,
422,395,RAILEANU Cristian,Li Ning Star,80,
423,320,CAVIA Daniel,Burgos Burpellet BH,80,
424,302,FINN Lorenzo Mark,Red Bull - BORA - hansgrohe Rookies,80,
425,582,GONZÁLEZ David,Pinarello Q36.5 Pro Cycling Team,80,
426,115,DOUBLE Paul,Team Jayco AlUla,79,
427,288,KOGUT Oded,NSN Cycling Team,79,
428,514,ANDERSEN Mads,Swatt Club,79,
429,468,ROULAND Louis,Cofidis,78,
430,155,MADOUAS Valentin,Groupama - FDJ United,78,
431,322,CHUMIL Sergio Geovani,Burgos Burpellet BH,77,
432,555,FERRON Valentin,Cofidis,77,
433,951,TEUGELS Lennert,Tarteletto - Isorex,77,
434,629,SINSCHEK Nils,Li Ning Star,75,
435,1517,LOZANO Juan Pedro,Terengganu Cycling Team,75,
436,1285,RENARD-HAQUIN Henri-François,Team Picnic PostNL,75,
437,655,MOSCON Gianni,Red Bull - BORA - hansgrohe,75,
438,542,GRAAT Tijmen,Team Visma | Lease a Bike,75,
439,573,JACOBS Johan,Groupama - FDJ United,75,
440,695,COBARRUBIA Leonardo,,75,
441,697,JASCH Lennart,Tudor Pro Cycling Team,75,
442,242,ETXEBERRIA Haimar,Red Bull - BORA - hansgrohe,74,
443,266,DENZ Nico,Red Bull - BORA - hansgrohe,74,
444,241,TEUNS Dylan,Cofidis,74,
445,315,THEUNS Edward,Lidl - Trek,74,
446,1336,BONNET Thomas,TotalEnergies,73,
447,602,SYRITSA Gleb,XDS Astana Team,73,
448,736,DEGENKOLB John,Team Picnic PostNL,73,
449,865,BOU Joan,Caja Rural - Seguros RGA,73,
450,473,LEONARD Michael,EF Education - EasyPost,72,
451,368,PAGE Hugo,Cofidis,72,
452,161,COVI Alessandro,Team Jayco AlUla,72,
453,1023,LAU Wan Yau Vincent,Roojai Insurance Winspace,72,
454,447,PACHER Quentin,Groupama - FDJ United,72,
455,1271,HOOGENDOORN Roy,Metec - SOLARWATT p/b Mantel,72,
456,786,THIERRY Pierre,TotalEnergies,72,
